id,parent_skill,name,description,left_or_right
334,332,Irresistible Charge,"<li>Gain +50 <img src=""/images/common/buff/armor.png""> <span class=""armor"">armor</span>. Cannot be pushed, interrupted, or stunned.</li>",right
335,331,Rush In Attack,"<li><strong>[Q],[Q]:</strong> Perform a strike that <img src=""/images/common/cc/interrupt.png""> <span class=""interrupt"">interrupts</span> attackers.</li><li>Rush distance decreased.</li>",right
336,335,Throwback Attack,"<li><strong>[Q],[Q]:</strong> On hit, <img src=""/images/common/cc/stun.png""> <span class=""stun"">stuns</span> enemy then tosses them behind you.</li>",left
337,335,Flaming Fist,"<li><strong>[Q],[Q]:</strong> Creates a cone of flame that <img src=""/images/common/debuff/burn.png""> <span class=""burn"">burns</span> enemies.</li>",right
338,,Staggering Leap,<strong>[E]:</strong> Leaping attack that briefly stuns.,none
339,338,Blunt Trauma,"<li><img src=""/images/common/cc/stun.png""> <span class=""stun"">Stun</span> duration increased to 1s.</li>",left
340,339,"Shake, Rattle, and Roll","<li>On hit, enemies are <img src=""/images/common/cc/slow.png""> <span class=""slow"">slowed</span>. <span class=""explain"">(3s)</span></li>",left
341,339,Bonecrusher,"<li><img src=""/images/common/cc/stun.png""> <span class=""stun"">Stun</span> duration increased to 1.5s, but you are weakened. <span class=""explain"">(-50% damage, 3s)</span></li>",right
342,338,Smackdown,"<li>Travels farther and deals more <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>. <span class=""explain"">(+200)</span></li>",right
343,342,Leap Before You Look,"<li>Use <strong>[E] STAGGERING LEAP</strong> more often. <span class=""explain"">(Cooldown -8s)</span></li>",left
344,342,Battle Cry,"<li>Gives you +50 <img src=""/images/common/buff/armor.png""> <span class=""armor"">armor</span>. <span class=""explain"">(5s)</span></li>",right
345,,Impact Crater,"<li><strong>[E]: STAGGERING LEAP</strong> affects enemies in a larger area.</li><li><strong>DURING CLASH:</strong> Gain more <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span> if you hit multiple foes.</li>",none
346,,Super Charger,"<li><strong>[Q]: CHARGE FORTH</strong> more often. <span class=""explain"">(-4s cooldown)</span></li><li><strong>DURING CLASH:</strong> After charge, gain +25% front <img src=""/images/common/buff/armor.png""> <span class=""armor"">damage reduction</span>. <span class=""explain"">(3s)</span></li>",none
347,,Quick to Anger,"<li><strong>[RMB]: HELLBURST</strong> base cooldown lowered to 4s. <span class=""explain"">(Cooldown increases as you hold <strong>[RMB]</strong>)</span></li><li><strong>DURING CLASH:</strong> Gain <img src=""/images/common/buff/speed.png""> <span class=""speed"">speed boost</span> after hitting or deflecting.</li>",none
348,,Frosty Swipes,<strong>[LMB]:</strong> Melee attack combo.,none
349,348,Defensive Swings,"<li>+5 <img src=""/images/common/buff/armor.png""> <span class=""armor"">armor</span> for each successful hit. <span class=""explain"">(Lasts 3s, maximum +20 armor)</span></li>",left
350,349,Cold and Frail,"<li>Hitting frozen enemies <img src=""/images/common/debuff/weakness.png""> <span class=""weakness"">weakens</span> them. <span class=""explain"">(-25% damage, 2s)</span></li>",left
351,349,Cold Remedy,"<li>Hitting frozen enemies <img src=""/images/common/buff/health.png""> <span class=""health"">heals</span> you. <span class=""explain"">(40 HP/s, stacks at 10% with other heals)</span></li>",right
352,348,Cold Kit Combo,"<li>After using any other skill, the first hit deals +50% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>. <span class=""explain"">(Within 3s)</span></li>",right
353,352,Extra Sauce,"<li>Deals +100% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> against frozen enemies.</li>",left
354,352,Ice Breaker,"<li><img src=""/images/common/debuff/crackarmor.png""> <span class=""crackarmor"">Cracks armor</span> against frozen enemies. <span class=""explain"">(-10 armor, 3s)</span></li>",right
355,,Snowball Toss,<strong>[RMB]:</strong> Throw a snowball that explodes upon hitting the ground. Inflicts stun and freeze. <strong>HOLD [RMB]</strong> to charge.,none
356,355,Stick It To 'Em,"<li>Direct hits stick to enemies, deal +100 <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> upon impact, and explode twice as fast.</li>",left
357,356,Shattered,"<li>Direct hits explode immediately on impact and give 3x the <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span>.</li>",left
358,356,Ice Ball,"<li>Direct hits <img src=""/images/common/debuff/freeze.png""> <span class=""freeze"">freeze</span> enemies for longer on explosion. <span class=""explain"">(4s)</span></li>",right
359,355,Size Matters,"<li>If fully charged, affects a bigger radius.</li>",right
360,359,Let's Chill Together,"<li>If fully charged, <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> is increased for each enemy hit. <span class=""explain"">(+60 per enemy, maximum: +120)</span></li>",left
361,359,Group Benefits,"<li>If fully charged, cooldown is reduced by 1s for each enemy hit.</li>",right
362,,Breath of Frigid Air,"<strong>[F],[LMB]:</strong> Inflicts full freeze. On end, turns enemies into snowmen for 4s. Breaking them out deals damage. <span class=""explain"">(300/400/500)</span>",none
363,362,Tactical Awareness,"<li>+10 back <img src=""/images/common/buff/armor.png""> <span class=""armor"">damage reduction</span>.</li><li>+10% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> from behind.</li>",left
364,363,Pure Escapism,"<li><img src=""/images/common/buff/cleanse.png""> <span class=""cleanse"">Cleanses debuffs</span> when you dodge. <span class=""explain"">(Once every 20s)</span></li>",left
365,363,Bloody Minded,"<li><img src=""/images/common/buff/invulnerable.png""> <span class=""invulnerable"">Immunity</span> to weakness. Recover from daze twice as fast.</li>",right
366,362,Frozen Focus,"<li>Gain additional <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span> whenever you freeze an enemy. <span class=""explain"">(Once every 5s)</span></li>",right
367,366,Hardy,"<li>25% <img src=""/images/common/buff/armor.png""> <span class=""armor"">degen resistance</span>.</li><li><strong>[F],[LMB]:</strong> 50% <img src=""/images/common/buff/armor.png""> <span class=""armor"">degen resistance</span> after using <strong>FOCUS</strong>. <span class=""explain"">(Lasts until you die)</span></li>",left
368,366,Feeling Better,"<li><strong>[F],[LMB]:</strong> While using <strong>FOCUS</strong>, gain <img src=""/images/common/buff/health.png""> <span class=""health"">health</span> over time. <span class=""explain"">(150 HP/s)</span></li>",right
369,,Slip and Slide,"<strong>[Q]:</strong> Slide along the ground. <strong>[Q],[Q]:</strong> Perform a melee hit that pushes enemies.",none
370,369,Safety First,"<li>While sliding, gain <img src=""/images/common/buff/health.png""> <span class=""health"">health</span> over time. <span class=""explain"">(60 HP/s)</span></li>",left
371,370,Stay Healthy,"<li>Hitting an enemy increases and extends the <img src=""/images/common/buff/health.png""> <span class=""health"">health</span> gain. <span class=""explain"">(100 HP/s, 2s)</span></li>",left
372,370,Uninhibited,"<li>Gain +25 <img src=""/images/common/buff/armor.png""> <span class=""armor"">armor</span> and become <img src=""/images/common/buff/invulnerable.png""> <span class=""invulnerable"">immune</span> to slow, cripple, and immobilize while sliding.</li>",right
373,369,Snow Bowling,"<li>Roll forward in a snowball. <strong>[Q] AGAIN:</strong> explode, deal area damage and <img src=""/images/common/debuff/freeze.png""> <span class=""freeze"">freeze</span> foes. <span class=""explain"">(2s)</span></li><li>Reduced speed. No longer pushes.</li>",right
374,373,Forceful Impact,"<li><strong>[Q],[Q]:</strong> <img src=""/images/common/cc/daze.png""> <span class=""daze"">Dazes</span> enemies on hit.</li>",left
375,373,Play Nice,"<li><strong>[Q],[Q]:</strong> <img src=""/images/common/debuff/weakness.png""> <span class=""weakness"">Weakens</span> enemies on hit. <span class=""explain"">(-25% damage, 3s)</span></li>",right
376,,Frost Path,<strong>[E]:</strong> Create a path of ice in front of you that inflicts freeze. Grants speed boost to allies.,none
377,376,Extended Path,<li>Path extends further.</li>,left
378,377,A Slippery Slope,"<li>Allies move <img src=""/images/common/buff/speed.png""> <span class=""speed"">faster</span> when on the path.</li>",left
379,377,Path of Destruction,"<li>Allies gain +15% basic attack <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> when on the path.</li>",right
380,376,Frostbite,"<li><img src=""/images/common/debuff/freeze.png""> <span class=""freeze"">Freeze</span> strength is intensified over time.</li>",right
381,380,Flash Freeze,<li>FROSTBITE happens faster.</li>,left
382,380,Redistribution of Health,"<li>If an enemy is on your path, you are <img src=""/images/common/buff/health.png""> <span class=""health"">healed</span> for 75 HP/s.</li>",right
383,,Lingering Effects,"<li><strong>[E]: FROST PATH</strong> <img src=""/images/common/buff/speed.png""> <span class=""speed"">speed boost</span> and <img src=""/images/common/debuff/freeze.png""> <span class=""freeze"">freeze</span> last an extra 1s.</li><li><strong>DURING CLASH:</strong> Extra duration increased to 2s.</li>",none
384,,Let It Slide,"<li><strong>[Q]: SLIP AND SLIDE</strong> can slide longer before attacking.</li><li><strong>DURING CLASH:</strong> Gain <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span> while sliding.</li>",none
385,,Fastball,"<li><strong>[RMB]: SNOWBALL TOSS</strong> travels faster and further.</li><li><strong>DURING CLASH:</strong> With full health, cooldown is reduced by 8s.</li>",none
386,,Star Lance Strike,<strong>[LMB]:</strong> Melee attack combo. Hitting extends active Aura.,none
387,386,Aura Renewal,"<li><strong>Aura SKILL,[LMB]:</strong> Hitting a foe can restart your last Aura up to 3s after it ended.</li>",left
388,387,Aura Affinity,"<li><strong>Aura SKILL:</strong> If Aura times out, that skill's cooldown is reduced by 3s.</li>",left
389,387,Extended Focus,"<li><strong>Aura SKILL,[LMB]:</strong> You gain 25% more <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span> whenever you restart an Aura.</li>",right
390,386,Star Light Stream,<li><strong>HOLD [LMB]:</strong> Beam attack.</li><li><strong>[LMB]:</strong> Melee combo.</li>,right
391,390,Aura Projection,"<li><strong>HOLD [LMB]:</strong> On hit, also attaches an Aura to your target.</li>",left
392,390,Star Power,"<li><strong>HOLD [LMB]:</strong> Beam attack does more <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> and builds <img src=""/images/common/debuff/damage.png""> <span class=""damage"">crit chance</span> rapidly.</li>",right
393,,Aura of Strength,"<strong>[RMB]:</strong> Damage enemies in melee range. <strong>AURA</strong> <span class=""explain"">(3s)</span>: You and nearby allies deal +10% basic attack damage.",none
394,393,Strength of Arms,"<li><img src=""/images/common/debuff/damage.png""> <span class=""damage"">Damage</span> bonus increased to 20%.</li><li>Aura duration increased to 4s.</li>",left
395,394,Foes Beware,"<li>On <strong>[LMB] STAR LANCE STRIKE</strong> hit, gain +10% basic attack <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> vs. attacking foes.</li>",left
396,394,Conversion of Strength,"<li>On <strong>[LMB] STAR LANCE STRIKE</strong> hit, shorten cooldown for <strong>[Q] AURA OF HASTE</strong> and <strong>[E] AURA OF LIFE</strong>.</li><li>Adds +10s to cooldown.</li>",right
397,393,Lancing Blow,<li>Perform a powerful melee strike that has extended range.</li><li>Aura duration reduced to 2s.</li>,right
398,397,Lancing Flow,"<li>On melee miss, sends out a wave projectile. <span class=""explain"">(30m range)</span></li>",left
399,397,Foe Fire,"<li>On melee hit, attacking foes suffer <img src=""/images/common/debuff/burn.png""> <span class=""burn"">burning</span>. <span class=""explain"">(30 dmg/s, 3s)</span></li>",right
400,,Vow of Shielding,"<strong>[F],[LMB]:</strong> Give HP shield <span class=""explain"">(600/800/1000)</span> to you and nearby allies. <span class=""explain"">(5/6/7s)</span> <strong>[LMB] STAR LANCE STRIKE</strong> hits restore 75 HP to the shield.",none
401,400,Amity,"<li>Gain <img src=""/images/common/buff/health.png""> <span class=""health"">80 HP/s</span> after each assist or kill. <span class=""explain"">(4s)</span></li>",left
402,401,Hero's Vitality,"<li>+15% maximum <img src=""/images/common/buff/health.png""> <span class=""health"">health</span>.</li>",left
403,401,Stonewall,"<li>You are <img src=""/images/common/buff/invulnerable.png""> <span class=""invulnerable"">immune</span> to critical hits.</li>",right
404,400,Blesser's Boon,"<li>Triggering an Aura with allies nearby gives you <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span>.</li>",right
405,404,Focused Healing,"<li>+20% <img src=""/images/common/buff/health.png""> <span class=""health"">healing</span> power after using your <strong>FOCUS</strong>. <span class=""explain"">(Lasts until you die)</span></li>",left
406,404,Focused Might,"<li><strong>[F],[LMB]:</strong> Gain +7% basic attack <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> when you use <strong>FOCUS</strong>. <span class=""explain"">(Max +14%, lasts until you die)</span></li>",right
407,,Aura of Haste,"<strong>[Q]:</strong> +8 Stamina. <strong>AURA</span> <span class=""explain"">(3s)</span>: You and nearby allies move 10% faster.",none
408,407,All Do Haste,"<li><img src=""/images/common/buff/speed.png""> <span class=""speed"">Speed</span> boost increased to 25%.</li><li>Aura duration increasd to 4s.</li>",left
409,408,Energize,"<li>On start, gain +16 stamina.</li>",left
410,408,Conversion of Haste,"<li>On <strong>[LMB] STAR LANCE STRIKE</strong> hit, shorten cooldown for <strong>[RMB] AURA OF STRENGTH</strong> and <strong>[E] AURA OF LIFE</strong>.</li><li>Adds +10s to cooldown.</li>",right
411,407,Rainbow Dash,"<li><strong>SPRINT+[Q]:</strong> Rush forward. Enemies hit are <img src=""/images/common/cc/push.png""> <span class=""push"">pushed</span>.</li><li>Does not trigger Aura if you dash.</li>",right
412,411,Dash of Healing,"<li><strong>[E],SPRINT+[Q]:</strong> If you had <strong>AURA OF LIFE</strong>, you are <img src=""/images/common/buff/health.png""> <span class=""health"">healed</span> for 150 HP.</li>",left
413,411,Dash of Damage,"<li><strong>[RMB],SPRINT+[Q]:</strong> If you had <strong>AURA OF STRENGTH</strong>, deal 200 armor-ignoring <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>.</li>",right
414,,Aura of Life,"<strong>[E]:</strong> Cleanse debuffs from nearby allies. <strong>AURA</strong> <span class=""explain"">(3s)</span>: You and nearby allies regenerate 25 HP/s.",none
415,414,Life Goes On,"<li><img src=""/images/common/buff/health.png""> <span class=""health"">Healing</span> increased to 35 HP/s.</li><li>Aura duration increased to 4s.</li>",left
416,415,Battle Armor,"<li>On <strong>[LMB] STAR LANCE STRIKE</strong> hit, allies in your Aura gain +10 <img src=""/images/common/buff/armor.png""> <span class=""armor"">armor</span> for 2s.</li>",left
417,415,Conversion of Life,"<li>On <strong>[LMB] STAR LANCE STRIKE</strong> hit, shorten cooldown for <strong>[RMB] AURA OF STRENGTH</strong> and <strong>[Q] AURA OF HASTE</strong>.</li><li>Adds +10s to cooldown.</li>",right
418,414,Bursting with Life,"<li>You and nearby allies are <img src=""/images/common/buff/health.png""> <span class=""health"">healed</span> for 200 HP. <span class=""explain"">(Duration reduced to 2s)</span></li><li>No longer grants debuff immunity.</li>",right
419,418,Life of the Party,"<li><img src=""/images/common/buff/health.png""> <span class=""health"">Heals</span> an additional 30 HP per ally hit.</li><li>+150 HP max bonus.</li>",left
420,418,Defy Damage,"<li>Inflict <img src=""/images/common/debuff/weakness.png""> <span class=""weakness"">weakness</span> on nearby foes. <span class=""explain"">(-25% damage, 3s)</span></li>",right
421,,Life Abounds,"<li><strong>[E]: AURA OF LIFE</strong> affects a 50% larger area.</li><li><strong>DURING CLASH:</strong> Gain <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span> for each affected ally.</li>",none
422,,Speed Persisted,<li><strong>[Q]: AURA OF HASTE</strong> lasts 3s after allies leave your Aura.</li><li><strong>DURING CLASH:</strong> Removes cripple and slow on start.</li>,none
423,,Resurgent Might,"<li><strong>[RMB]: AURA OF STRENGTH</strong> has a shorter cooldown. <span class=""explain"">(-5s)</span></li><li><strong>DURING CLASH:</strong> -5s cooldown if no other Aura is active.</li>",none
424,,Arrowed,<strong>[LMB]:</strong> Fire an arrow. <strong>HOLD [LMB]</strong> to power up.,none
425,424,Dead Eye,"<li>Powered up shots deal +20% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>.</li>",left
426,425,Bow Flex,<li>Shots power up 33% faster.</li>,left
427,425,Longshot,"<li>Powered up shots fly faster and farther and deal full <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> at longer range.</li>",right
428,424,Spread the Pain,"<li>Powered up shots fire a spread of 5 arrows. <span class=""explain"">(Outer arrows do less damage)</span></li>",right
429,428,Piercing Arrows,<li>Powered up shots pierce through enemies.</li>,left
430,428,Tangleroot Tips,"<li>At close range <span class=""explain"">(10m)</span>, powered up shots inflict <img src=""/images/common/cc/slow.png""> <span class=""slow"">slow</span> <span class=""explain"">(2s)</span> and give extra <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span>.</li>",right
431,,Poison Spores,"<strong>[RMB]:</strong> Create a poison cloud that lasts 6s. <span class=""explain"">(-50% healing)</span> Stand in the cloud to fire poisonous arrows.",none
432,431,More Spores,"<li>Poison cloud lasts longer and covers are larger area. <span class=""explain"">(8s)</span></li>",left
433,432,Virulence,"<li>On hit, deals 150 <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>.</li>",left
434,432,Contagion,"<li>Poisoned enemies infect nearby foes with <img src=""/images/common/debuff/poison.png""> <span class=""poison"">poison</span>. <span class=""explain"">(+5s cooldown)</span></li>",right
435,431,Seeking Spores,"<li>Throw a poison cloud that explodes on impact and inflicts <img src=""/images/common/debuff/poison.png""> <span class=""poison"">poison</span>. <span class=""explain"">(-50% healing, 4s)</span></li>",right
436,435,Hungry Spores,<li>Poison cloud has homing.</li>,left
437,435,Acute Poison,"<li>Direct hits deal increased <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> <span class=""explain"">(+50)</span> and inflict heavy <img src=""/images/common/debuff/poison.png""> <span class=""poison"">poison</span>. <span class=""explain"">(-75% healing)</span></li>",right
438,,Natural Roots,"<strong>[F],[LMB]:</strong> Fire an arrow that deals damage and immobilizes all foes in the area. <span class=""explain"">(2s/3s/4s)</span>",none
439,438,Easy Strider,"<li><img src=""/images/common/buff/speed.png""> <span class=""speed"">+10% movement speed</span> and sprinting drains stamina 25% slower.</li>",left
440,439,Endurance,<li>+25% maximum stamina.</li>,left
441,439,Hit and Run,"<li><strong>[F],[LMB]:</strong> +10% <img src=""/images/common/buff/speed.png""> <span class=""speed"">speed</span> and +10 <img src=""/images/common/buff/armor.png""> <span class=""armor"">armor</span> after using <strong>FOCUS</strong>. <span class=""explain"">(Lasts until you die)</span></li>",right
442,438,Tactical Awareness,"<li>+10 <img src=""/images/common/buff/armor.png""> <span class=""armor"">armor</span> when you are hit from long or medium range.</li>",right
443,442,Amity,"<li>Gain <img src=""/images/common/buff/health.png""> <span class=""health"">80 HP/s</span> after each assist or kill. <span class=""explain"">(4s)</span></li>",left
444,442,Focused Might,"<li><strong>[F],[LMB]:</strong> Gain +7% basic attack <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> when you use <strong>FOCUS</strong>. <span class=""explain"">(Max +14%, lasts until you die)</span></li>",right
445,,Green Man,"<strong>[Q]:</strong> Create a decoy that runs and attacks. Gain stealth. <span class=""explain"">(5s, can't sprint)</span> Decoy is destroyed upon leaving stealth.",none
446,445,Alternate Root,"<li><strong>[Q],[Q]:</strong> Teleport to your decoy's position.</li><li>Your decoy is destroyed.</li>",left
447,446,Leaf No Trace,"<li><strong>[Q],[Q]:</strong> After teleporting, regain 15 stamina and gain a <img src=""/images/common/buff/speed.png""> <span class=""speed"">speed boost</span>. <span class=""explain"">(30%, 3s)</span></li>",left
448,446,One With Nature,"<li><strong>[Q],[Q]:</strong> After teleporting, you are <img src=""/images/common/buff/health.png""> <span class=""health"">healed</span> for 250 HP.</li>",right
449,445,Companion's Boon,"<li>Decoy now fights alongside you and deals increased <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>. <span class=""explain"">(+130 damage)</span></li><li>You no longer gain stealth.</li>",right
450,449,Spore Imitation,"<li>Decoy will also fire homing <img src=""/images/common/debuff/poison.png""> <span class=""poison"">poison</span> clouds at enemies. <span class=""explain"">(+75 damage, inflicts poison)</span></li>",left
451,449,Spring to Life,"<li>Decoy will create <img src=""/images/common/buff/health.png""> <span class=""health"">healing</span> springs at its feet. <span class=""explain"">(+45 HP/s, 6s)</span></li>",right
452,,Hidden Spring,"<strong>[E]:</strong> Creates a pool tha theals self and allies. <span class=""explain"">(6s)</span>",none
453,452,Well Wishes,"<li><strong>HOLD [E]:</strong> On use, create a second spring at target location. Springs <img src=""/images/common/buff/health.png""> <span class=""health"">heal</span> for 50% more.</il>",left
454,453,Recovery Time,"<li><img src=""/images/common/buff/health.png""> <span class=""health"">Healing</span> from the Spring lasts longer. <span class=""explain"">(1s)</span></li>",left
455,453,Spring Cleaning,"<li>Spring <img src=""/images/common/buff/cleanse.png""> <span class=""cleanse"">cleanses debuffs</span> on start.</li.",right
456,452,Geyser,"<li>Allies in the Spring gain <img src=""/images/common/buff/jumphigher.png""> <span class=""jumphigher"">super jump</span>.</li>",right
457,456,Burst Forth,"<li>On use, <img src=""/images/common/cc/push.png""> <span class=""push"">pushes</span> enemies.</li><li><img src=""/images/common/cc/slow.png""> <span class=""slow"">Slows</span> enemies who enter the Spring.</li>",left
458,456,Refreshment,"<li>On use, gain 25 stamina.</li>",right
459,,Spring Back,"<li><strong>[E]: HIDDEN SPRING</strong> <img src=""/images/common/buff/health.png""> <span class=""health"">heals</span> for more. <span class=""explain"">(+35%)</span></li><li><strong>DURING CLASH:</strong> On start, if other allies are in your spring, -5s cooldown.</li>",none
460,,Heart of Oak,"<li><strong>[Q]: GREEN MAN</strong> stealth and decoy duration is longer. <span class=""explain"">(+1s)</span></li><li><strong>DURING CLASH:</strong> 25% <img src=""/images/common/buff/armor.png""> <span class=""armor"">damage resistance</span> while your decoy is alive.</li>",none
461,,Toxin,"<li><strong>[RMB]: POISON SPORES</strong> duration is longer. <span class=""explain"">(+1s)</span></li><li><strong>DURING CLASH:</strong> On apply, nearby allies gain +15% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> for 5s. <span class=""explain"">(Once per 5s)</span></li>",none
462,,Cut,<strong>[LMB]:</strong> Strong deliberate cuts with a blade. <strong>DODGE+[LMB]:</strong> has longer reach.,none
463,462,Jujumagumbo,"<li>On hit, reduces <strong>[E] JU JU FRUIT</strong> cooldown by 1s. <span class=""explain"">(Once per swing not per enemy hit)</span></li>",left
464,463,Open Wounds,"<li>Hits inflict <img src=""/images/common/debuff/bleed.png""> <span class=""bleed"">bleed</span>. <span class=""explain"">(3s)</span></li><li>Bleed stacks up to 5 times. <span class=""explain"">(5 to 25 dmg/s)</span></li>",left
465,463,Critical Condition,"<li>Hitting a poisoned target doubles your <img src=""/images/common/debuff/damage.png""> <span class=""damage"">crit chance</span> gain.</li>",right
466,462,Hamstring,"<li><strong>DODGE+[LMB]:</strong> Inflicts <img src=""/images/common/cc/slow.png""> <span class=""slow"">slow</span>. <span class=""explain"">(20%, 1s)</span></li>",right
467,466,Dead Weight,"<li><strong>DODGE+[LMB]:</strong> Doubles <img src=""/images/common/cc/slow.png""> <span class=""slow"">slow</span> effectiveness. <span class=""explain"">(40%)</span></li>",left
468,466,Lash Out,<li><strong>DODGE+[LMB]:</strong> Hits reduce <strong>[RMB] RUSH</strong> cooldown by 1s.</li>,right
469,,Rush,<strong>[RMB]:</strong> Dash attack in the direction you are moving. Damages enemies around you and counts as a dodge.,none
470,469,Bouncing Around,"<li>On hit, reduces <strong>[RMB] RUSH</strong> cooldown by 2s.</li>",left
471,470,Counterplay,"<li>Hitting an attacking enemy <img src=""/images/common/cc/interrupt.png""> <span class=""interrupt"">interrupts</span> them.</li>",left
472,470,Low Blow,"<li>Hitting in the side/back <img src=""/images/common/debuff/crackarmor.png""> <span class=""crackarmor"">cracks armor</span>. <span class=""explain"">(-10 armor, 3s)</span></li>",right
473,469,Watch Your Step,"<li>Leaves caltrops behind that inflict <img src=""/images/common/cc/slow.png""> <span class=""slow"">slow</span>. <span class=""explain"">(1s)</span></li>",right
474,473,Have a Good Trop,<li>Caltrops duration increased by 2s.</li>,left
475,473,See You Next Fall,"<li>Caltrops apply <img src=""/images/common/cc/cripple.png""> <span class=""cripple"">cripple</span> for 2s.</li>",right
476,,Fruit Punch,"<strong>[F],[LMB]:</strong> Shower the nearby area with poison fruit. Inflicts poison and obscures enemy vision. <span class=""explain"">(50/75/100 dmg/s)</span>",none
477,476,Endurance,<li>+25% maximum stamina.</li>,left
478,477,Skirmishing,<li>Faster stamina regen while in combat. Out of combat health regen starts 2s sooner.</li>,left
479,477,Acrobatics,<li>Dodging costs 20% less stamina.</li>,right
480,476,Tactical Awareness,"<li>+10 back <img src=""/images/common/buff/armor.png""> <span class=""armor"">damage reduction</span>.</li><li>+10% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> from behind.</li>",right
481,480,En Garde,"<li>+20% front <img src=""/images/common/buff/armor.png""> <span class=""armor"">damage reduction</span> while attacking.</li>",left
482,480,Will to Power,"<li><strong>[F],[LMB]:</strong> +10% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> and +10% front <img src=""/images/common/buff/armor.png""> <span class=""armor"">damage reduction</span> after using <strong>FOCUS</strong>. <span class=""explain"">(Lasts until you die)</span></li>",right
483,,Flurry,<strong>[Q]:</strong> A series of quick attacks that damages enemies in front of you.,none
484,483,Whippersnapper,"<li>Perform a powerful final strike. <span class=""explain"">(250 damage)</span></li>",left
485,484,Whiplash,"<li>Final strike briefly <img src=""/images/common/cc/daze.png""> <span class=""daze"">dazes</span> enemies.</li>",left
486,484,Breaking Point,"<li>Final strike inflicts <img src=""/images/common/debuff/crackarmor.png""> <span class=""crackarmor"">broken armor</span>. <span class=""explain"">(3s)</span></li>",right
487,483,Whip Around,"<li><img src=""/images/common/buff/deflect.png""> <span class=""deflect"">Deflects</span> projectiles and hits enemies around you, but deals reduced damage. <span class=""explain"">(-20 per hit)</span></li>",right
488,487,Impress,"<li>Applies <img src=""/images/common/debuff/weakness.png""> <span class=""weakness"">weakness</span> to all enemies hit. <span class=""explain"">(-25% damage, 3s)</span></li>",left
489,487,Strong Stance,<li>Immune to hit reactions while performing <strong>FLURRY</strong>.</li>,right
490,,Juju Fruit,"<strong>[E]:</strong> Coats your blade with poison. <span class=""explain"">(5s)</span> Next attack applies poison. <span class=""explain"">(50 dmg/s, 3s, -50% healing)</span>",none
491,490,Fruit Sugar,"<li>On use, gain 15 stamina.</li>",left
492,491,Blood Sugar,"<li>On use, gain 30 stamina.</li>",left
493,491,A Juju Fruit a Day,"<li><img src=""/images/common/buff/cleanse.png""> <span class=""cleanse"">Cleanse debuffs</span>.</li>",right
494,490,Lasting Effects,<li>Poison duration increased by 3s.</li>,right
495,494,Out of Juice,"<li>Inflicts <img src=""/images/common/debuff/poison.png""> <span class=""poison"">heavy poison</span>. <span class=""explain"">(-75% healing)</span></li>",left
496,494,Smear,"<li>With poison coating, your next hit will inflict <img src=""/images/common/debuff/curse.png""> <span class=""curse"">curse</span>. <span class=""explain"">(Denies buffs, 2s)</span></li><li>Increases cooldown by 3s.</li>",right
497,,Poison Coat,"<li><strong>[E]: JUJU FRUIT:</strong> Inflicting <img src=""/images/common/debuff/poison.png""> <span class=""poison"">poison</span> no longer removes <strong>[E] JUJU FRUIT</span>.</li><li><strong>DURING CLASH:</strong> Reduces cooldown by 5s.</li>",none
498,,Can't Touch This,"<li><strong>[Q]: FLURRY</strong> duration is doubled. <span class=""explain"">(2s)</span></li><li><strong>DURING CLASH:</strong> Gain double <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span> from <strong>[Q] FLURRY</strong> attacks.</li>",none
